,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0,5.7,7.25,8.1,9.05,10.05,12.7,16.3,17.8,22.1,29.05,30.6,36.85,38.25,50.4,53.95,57.2,60.25,69.15,74.2,84.1,83.85,86.75,91.55,87.35,92.55,90.85,92.75,88.2,95.15,93.95,93.05,97.65,97.6,95.05,95.85,96.5,99.85,99.25,99.25,99.55,99.9,101.75,102.8,100.4,102.9,100.2,101.2,101.4,99.8,99.0,100.0,98.3,99.7,98.9,96.1,101.0,98.5,100.2,100.0,101.7,99.1,97.1,99.0,99.2,101.1,101.5,102.1,103.6,97.9,100.7,98.3,98.6,98.6,100.7,101.7,102.9,103.0,97.6,100.5,100.2,98.4,98.2,97.6,100.1,103.1,99.7,100.4,101.2,98.0,98.7,103.0,100.0,99.9,100.0,98.6,100.7,98.6,100.1,97.1,98.1,105.4,99.4,102.7,98.9,97.9,103.9,95.9,96.3,100.6,102.9,101.0,99.6,98.4,100.9,100.1,100.3,99.0,100.5,100.1,101.3,101.3,99.2,99.9,101.0,97.6,101.1,99.5,100.2,103.1,99.7,98.9,99.2,100.0,98.4,102.4,97.4,98.4,98.7,96.5,100.8,99.8,98.2,99.7,98.6,103.1,100.7,97.8,99.7,99.5,98.5,101.8,99.7,98.2,98.7,101.1,97.4,95.9,99.6,103.0,102.8,99.4,101.6,100.4,101.6,97.4,97.8,99.5,102.0,98.6,98.7,104.4,98.7,97.5,99.4,99.3,100.9,100.5,97.4,98.4,102.4,99.7,103.2,101.3,99.6,102.7,99.0,100.5,98.5,99.2,101.5,98.2,99.8,100.4,100.6,100.1,99.8,100.6,99.7,98.9,102.3,100.4
1,5.0,6.45,5.0,7.7,9.0,13.7,16.5,16.55,22.15,28.95,31.5,35.55,40.85,48.15,53.05,56.6,60.1,66.05,70.95,79.6,84.4,86.3,87.75,90.75,92.55,92.35,92.0,91.55,93.25,93.85,94.9,94.5,94.45,95.5,95.65,96.85,97.8,100.1,97.85,99.35,98.05,99.9,100.0,98.5,101.4,101.8,100.3,98.6,100.4,99.8,98.4,100.2,103.0,99.9,101.4,99.9,98.6,98.9,101.3,101.4,99.7,101.4,99.7,100.4,100.6,97.4,100.0,99.2,100.7,101.3,101.8,97.2,98.5,98.3,100.0,99.3,98.2,99.3,97.1,102.5,99.7,100.2,99.0,97.2,99.5,101.3,99.7,100.5,101.0,101.2,99.0,98.4,98.5,100.5,100.6,99.3,101.3,99.0,101.0,98.5,101.4,101.1,101.7,101.6,100.6,100.2,95.1,101.6,100.5,101.9,98.1,100.6,101.6,99.7,97.9,100.8,100.1,97.8,100.8,96.8,99.6,100.6,100.3,100.7,99.7,101.2,99.9,99.1,100.7,99.0,103.2,98.1,102.4,101.1,101.5,96.5,99.6,102.1,101.7,99.9,99.8,101.4,97.0,99.3,100.8,99.4,98.3,100.9,97.5,100.1,96.0,100.0,98.3,101.5,101.3,100.7,101.7,96.9,101.1,99.2,100.1,99.1,99.4,99.8,97.9,103.4,99.6,100.7,98.5,100.0,98.5,99.3,101.5,100.2,101.4,101.3,102.0,97.3,99.0,100.7,101.1,99.8,99.8,100.4,102.4,99.8,98.5,98.7,99.6,99.9,101.2,101.9,101.2,100.7,99.1,97.1,96.7,99.6,96.5,99.7,100.1
2,4.75,6.3,7.65,7.5,11.45,11.15,17.05,18.1,24.3,27.25,32.15,37.8,43.05,49.8,56.85,59.85,61.9,65.0,73.65,78.9,82.45,85.35,88.55,88.15,91.15,91.55,91.65,94.25,92.55,94.3,95.1,97.2,94.2,94.3,97.6,96.7,95.85,98.85,99.25,99.05,101.05,102.3,100.2,101.5,100.9,97.6,98.7,99.4,98.8,101.0,99.2,100.9,99.2,97.8,101.7,101.7,99.0,100.1,101.9,100.4,101.0,98.4,102.8,99.4,103.0,100.8,100.8,98.5,98.9,98.8,100.4,102.0,99.9,97.0,98.7,98.1,103.4,98.8,98.8,99.0,99.5,99.0,98.8,100.4,98.4,102.1,101.4,98.9,98.8,100.3,99.4,102.3,99.0,102.4,100.9,100.4,99.3,99.3,96.8,99.7,99.2,98.5,97.2,97.2,99.6,98.2,97.1,102.4,97.5,99.1,100.8,100.9,100.7,98.0,101.2,100.1,100.5,98.6,97.4,102.5,104.7,101.3,100.0,97.8,100.8,102.9,100.9,98.1,99.7,102.0,99.4,101.4,98.7,101.6,98.9,101.0,99.1,101.4,101.6,101.0,99.8,99.7,99.7,102.2,99.7,100.1,98.2,102.0,98.0,99.5,101.8,99.7,101.4,100.7,100.5,99.3,97.5,97.8,100.7,101.3,103.7,98.6,98.8,101.1,99.9,97.6,99.9,98.8,101.2,101.4,102.4,100.0,103.6,98.7,101.0,99.5,100.9,97.6,98.4,98.7,97.0,98.7,102.2,98.2,100.8,100.1,97.0,97.4,98.6,99.7,101.1,100.5,102.4,100.2,99.6,99.2,101.7,99.9,99.3,100.9,99.5
3,4.7,4.45,6.8,9.45,10.1,11.95,15.25,18.25,21.7,29.8,31.35,36.5,40.15,51.95,53.4,59.35,62.85,66.0,73.8,79.7,84.85,86.0,89.0,87.7,92.95,92.55,94.5,92.0,93.85,95.1,93.3,97.0,93.9,99.95,95.8,96.7,97.1,98.15,98.9,98.1,103.05,101.9,97.7,99.6,99.2,99.7,100.6,102.0,99.5,101.5,99.7,102.6,101.5,101.3,100.0,99.0,99.8,99.7,100.6,101.4,98.3,101.9,100.3,101.6,102.3,96.8,102.0,99.9,100.7,97.9,98.9,99.2,98.9,104.3,100.4,99.4,99.3,99.6,98.4,98.4,100.5,99.7,100.0,101.5,102.6,100.9,101.9,99.2,101.0,99.7,101.5,101.9,103.0,99.4,97.9,99.9,96.5,98.9,99.0,100.7,100.3,100.0,95.1,97.3,98.9,102.4,99.0,101.0,99.6,101.6,100.3,99.2,97.2,100.2,103.6,97.7,98.4,100.5,101.4,100.2,100.8,100.7,102.9,99.8,98.5,98.1,97.8,100.9,101.2,99.8,101.4,97.0,99.8,100.9,102.7,99.5,100.4,99.8,100.0,100.5,100.6,99.2,100.3,101.1,101.7,97.9,101.2,98.1,99.9,99.1,100.8,99.3,98.9,99.9,99.7,98.9,98.6,98.1,97.6,99.3,99.0,99.1,99.7,101.8,102.2,97.9,99.0,100.5,102.6,100.8,100.6,98.6,98.9,103.8,100.1,100.2,99.6,99.4,98.1,100.7,98.1,102.4,98.7,99.4,99.4,102.1,100.5,99.7,101.3,98.8,99.4,100.3,98.0,99.9,98.5,99.0,101.9,99.2,99.3,98.8,101.7
4,4.15,5.75,8.25,8.6,9.75,12.95,16.8,17.2,23.55,29.35,31.45,36.1,40.5,48.05,56.35,59.4,61.7,66.25,73.7,77.55,85.6,88.35,90.8,89.4,92.0,91.1,93.3,92.25,94.7,95.05,92.25,97.55,95.65,98.85,98.25,99.9,98.65,100.7,98.15,99.2,98.25,98.9,98.7,102.5,103.1,101.0,102.7,101.3,98.4,99.9,102.0,97.5,98.0,98.3,100.4,99.0,99.7,104.2,101.2,99.7,102.3,99.3,101.3,98.2,98.2,97.9,99.7,100.4,97.0,98.4,97.0,99.2,100.7,98.7,98.8,98.6,96.9,99.8,98.9,97.4,102.6,102.1,97.7,101.4,100.1,97.6,99.2,99.9,99.9,97.0,100.4,98.6,99.0,103.8,99.4,99.8,101.7,100.2,100.3,99.8,100.2,100.6,96.7,99.6,99.8,100.8,99.7,99.5,98.8,97.7,98.5,98.9,98.7,99.5,98.1,98.2,99.6,99.2,98.5,102.1,100.0,99.0,101.6,101.5,98.4,101.5,99.5,99.7,99.3,98.9,98.7,100.7,98.6,99.4,100.9,96.9,101.5,100.0,100.9,99.7,102.0,98.6,99.7,96.8,96.7,99.0,100.2,100.2,100.6,101.8,97.2,96.7,99.2,100.6,98.0,99.5,98.1,101.7,98.8,99.2,100.9,97.0,99.9,101.1,99.0,99.3,97.4,100.8,100.7,101.3,99.5,101.3,102.6,98.3,99.3,99.1,98.9,99.3,100.5,101.2,99.2,99.3,99.2,99.8,101.5,102.0,100.1,98.9,102.9,100.8,98.8,99.3,100.8,99.0,99.8,100.1,102.1,100.5,98.8,97.7,99.4
5,4.7,6.15,8.15,7.2,8.5,13.4,15.1,19.35,24.1,29.1,30.35,38.65,40.3,50.15,55.65,58.65,60.65,66.9,73.95,80.05,85.95,86.4,86.25,90.4,90.35,92.9,89.35,92.05,95.8,95.15,91.6,94.8,93.5,98.7,100.3,97.6,97.75,99.6,99.8,101.55,100.6,100.5,98.9,102.3,99.3,101.2,98.5,100.4,102.0,101.4,101.3,97.8,99.7,99.8,100.1,100.5,102.2,97.2,101.1,101.3,98.6,101.8,99.6,99.1,100.0,98.5,99.3,97.6,98.7,101.4,99.7,99.6,97.1,98.8,99.4,100.3,99.4,100.8,100.0,100.5,97.9,100.2,100.6,100.6,101.2,99.4,98.1,98.4,98.9,97.7,101.0,102.4,99.7,102.5,101.4,99.3,99.2,99.8,101.4,103.5,99.4,102.3,99.3,99.8,98.8,101.7,103.3,100.0,96.4,102.2,98.8,100.5,101.7,98.9,99.9,102.6,99.9,101.3,99.8,99.0,103.0,98.6,98.7,98.2,99.6,100.9,99.1,98.4,99.6,99.2,98.7,102.6,98.7,100.0,98.2,98.4,100.2,99.0,100.0,101.0,97.5,101.4,96.9,100.5,100.4,99.6,99.9,101.9,102.0,102.5,102.0,98.2,101.7,101.5,100.8,103.7,98.9,98.1,101.7,101.3,96.8,101.7,99.1,98.8,102.2,101.2,100.4,100.0,101.8,98.9,100.7,99.6,101.6,100.4,97.3,99.8,97.9,103.1,99.8,97.8,100.8,99.5,98.7,99.0,100.4,98.3,100.1,98.9,99.4,101.9,98.0,100.1,99.2,99.4,98.0,102.1,103.8,99.6,99.6,98.5,100.2
6,4.95,6.4,6.9,9.05,8.0,12.5,16.2,17.45,23.25,27.55,33.3,37.05,40.25,49.55,54.6,59.55,58.25,65.0,72.6,78.5,83.7,83.9,86.3,90.5,92.95,92.65,91.15,88.7,96.95,90.95,92.35,93.9,96.6,97.35,94.85,96.7,95.0,97.45,101.8,101.05,101.05,99.6,100.4,100.9,99.8,101.7,100.5,100.2,101.5,100.7,103.5,98.8,97.7,100.2,98.1,98.6,103.0,101.3,98.2,99.7,96.7,99.1,98.9,99.7,102.3,98.9,103.0,99.9,99.6,100.2,97.9,97.0,98.7,100.1,99.5,102.0,96.2,100.9,98.7,100.5,101.7,102.1,100.1,99.4,100.6,103.3,99.2,101.0,100.4,99.0,98.6,97.6,101.5,100.4,100.0,99.2,100.6,100.2,102.2,100.9,99.2,99.6,97.8,99.7,98.6,101.3,99.1,102.6,100.6,97.5,98.8,99.1,99.2,102.2,98.9,98.9,99.2,98.9,99.4,101.1,99.3,97.9,97.7,99.2,101.2,100.1,99.7,98.7,100.7,104.4,99.7,102.2,99.5,99.6,96.9,99.6,98.9,102.3,99.8,102.9,100.1,100.5,100.2,100.0,100.3,97.5,99.4,100.6,98.8,97.3,100.5,100.6,99.8,100.6,99.6,100.7,102.3,97.1,97.8,99.5,98.6,104.7,100.4,99.3,99.7,101.3,100.9,100.9,100.2,99.2,97.2,97.5,100.1,101.3,101.6,99.1,100.2,102.3,100.0,100.2,100.5,101.6,98.8,100.8,97.7,102.3,100.5,101.2,100.5,99.5,101.3,98.3,99.6,100.7,100.9,99.3,99.2,99.6,100.1,99.6,100.4
7,4.35,5.65,8.4,9.0,9.5,11.95,15.65,18.15,21.0,28.1,31.35,35.6,38.75,48.0,52.5,56.7,58.65,68.2,72.6,80.05,82.65,88.55,89.55,92.85,90.0,93.0,91.8,91.3,96.85,97.0,95.25,96.4,98.35,93.1,95.95,95.9,99.7,97.65,97.7,98.55,99.15,98.7,102.3,98.3,99.5,100.8,100.0,101.0,99.4,100.9,101.4,99.5,100.1,98.6,98.8,99.0,102.0,98.2,99.4,101.4,100.9,98.1,100.9,100.7,98.5,99.5,100.2,100.6,100.3,99.7,99.9,99.7,98.3,100.0,99.2,101.8,101.9,98.5,99.5,101.9,99.8,101.3,98.7,99.7,98.1,100.1,101.3,102.5,99.8,98.0,99.6,100.3,101.5,100.5,99.4,99.0,100.0,101.7,101.8,100.1,101.5,98.9,102.4,99.5,100.1,99.9,100.8,98.3,98.4,100.3,102.8,99.0,99.4,100.7,99.3,98.4,98.2,101.1,102.4,98.0,99.7,100.7,98.9,102.9,101.6,101.7,100.2,101.9,98.4,100.3,97.7,102.6,100.2,101.4,100.6,100.7,100.9,101.1,98.5,100.9,99.8,100.0,99.5,100.0,99.1,99.8,100.6,103.7,100.7,99.2,99.1,99.0,101.5,101.3,100.2,100.5,101.5,97.9,100.5,100.5,101.1,101.6,101.0,102.8,98.5,98.2,99.4,100.1,101.0,101.3,100.6,99.8,97.4,102.5,98.0,98.4,99.8,100.9,100.4,100.1,100.8,101.0,101.9,99.6,100.4,100.2,100.9,102.8,98.4,101.1,102.9,98.9,98.3,98.3,100.5,102.2,96.8,100.8,98.0,102.1,100.9
8,5.3,5.85,7.35,7.3,9.65,11.95,15.15,17.3,23.7,26.8,30.25,35.65,40.3,47.45,53.5,56.15,60.5,68.9,74.1,81.4,84.4,84.8,87.65,88.5,91.0,91.35,92.6,92.05,91.7,96.1,94.6,94.9,97.1,95.6,94.15,97.75,96.95,99.5,101.15,98.8,100.85,98.2,101.5,98.2,100.3,100.0,100.8,99.3,99.5,100.6,98.7,98.9,100.9,102.0,100.4,97.9,98.2,99.4,98.5,101.0,101.2,100.6,99.9,99.8,102.6,98.6,99.5,103.3,99.8,98.3,98.8,100.1,100.0,99.7,99.2,99.3,98.4,100.5,101.5,101.6,102.0,98.5,98.7,99.9,100.3,100.4,102.7,101.3,99.1,102.4,102.5,100.6,102.7,97.5,98.0,99.6,102.8,99.9,100.6,100.1,98.1,99.6,100.7,98.8,101.2,98.9,99.5,100.7,101.5,95.9,100.5,100.1,101.7,98.2,103.1,100.3,103.2,98.5,100.5,100.7,99.5,101.2,100.6,101.2,98.7,101.3,97.1,98.2,101.5,101.0,99.1,98.9,99.5,98.3,98.6,98.2,98.1,102.5,99.2,99.3,98.5,96.5,97.0,99.7,99.3,102.6,102.1,99.2,101.1,99.8,101.7,99.6,102.5,96.7,99.9,99.1,100.1,99.9,100.2,99.8,99.2,99.3,101.5,99.5,100.0,99.3,100.8,100.2,101.3,102.2,101.0,100.4,96.9,100.9,100.4,98.3,100.7,96.3,101.1,100.4,100.7,99.0,98.4,98.6,99.9,100.1,100.1,99.0,99.9,99.6,100.4,100.0,98.7,100.3,101.9,98.5,99.7,100.4,97.6,99.4,98.2
9,4.4,5.6,6.85,7.9,10.75,11.05,16.6,17.6,24.1,29.2,32.4,37.15,39.4,48.95,55.6,56.75,59.85,66.7,70.55,80.7,88.5,87.0,89.15,90.3,91.55,90.15,91.65,93.25,96.3,91.25,92.75,94.95,98.75,97.1,95.9,94.15,98.3,99.05,98.85,99.9,101.55,99.25,98.0,98.7,98.8,100.6,100.3,98.4,100.8,98.1,99.7,102.4,98.9,99.5,100.3,99.9,100.3,100.9,100.2,101.5,98.4,98.2,98.8,100.4,99.0,101.4,99.6,99.3,98.9,99.5,100.1,101.2,100.3,102.7,98.6,98.6,101.0,98.6,99.6,98.8,99.6,99.9,100.1,100.0,96.6,99.3,100.2,99.9,96.7,100.6,102.5,100.2,100.0,101.9,101.1,99.3,100.6,98.5,101.5,99.9,100.2,101.1,102.5,101.8,99.9,104.0,100.1,100.1,97.0,101.0,101.8,101.7,98.7,96.3,100.2,98.6,101.8,101.2,100.1,97.4,99.1,97.8,99.4,100.0,97.9,100.1,97.4,97.2,100.2,98.7,99.0,95.5,98.0,99.6,95.5,104.2,99.8,98.4,99.7,100.6,102.9,102.2,98.9,101.7,98.5,100.4,102.4,102.8,101.3,100.4,99.1,100.3,98.7,99.6,100.6,101.7,99.9,102.2,98.1,98.1,99.0,96.4,99.3,97.6,98.5,99.6,100.9,100.7,101.7,98.9,101.3,99.3,101.2,101.3,99.4,100.7,101.3,100.6,98.2,97.6,102.1,101.3,97.4,103.0,99.6,99.0,100.4,101.5,99.9,100.0,98.8,99.6,98.7,100.4,103.2,102.0,99.1,101.3,99.5,103.4,102.3
